match_id,period_id,timestamp,carrier_id,opponent_id,distance_m,approach_angle_deg,carrier_speed_mps,opponent_speed_mps,closing_speed_mps,second_nearest_dist_m,n_supporting_teammates,dist_to_sideline_m,dist_to_goal_line_m,distance_trend_1s_mps,closing_accel_mps2,opponent_heading_change_deg,third_nearest_dist_m,n_opponents_nearby_10m,seconds_since_prev_event,prev_event_was_pass,carrier_x,carrier_y,sync_error_suspect,label
J03WPY,1,0:00:31.090000,DFL-OBJ-0028T3,DFL-OBJ-J01H9X,1.2965338406690352,87.96248725288375,12.62,7.02,3.970331294637364,2.02607995893548,4,19.67,56.02,5.168835444994391,-5.681041457445801,2.5449391766022083,5.5454936660319065,5,0.04,0,-3.52,14.33,False,1
J03WPY,1,0:00:26.490000,DFL-OBJ-002595,DFL-OBJ-00028V,1.16,161.51201591344093,1.71,2.65,-1.3054781280898053,4.548955924165456,2,11.75,55.19,-0.2392937493423869,-3.2978461494678744,35.67584557734096,5.535205506573355,5,2.0,0,-2.69,22.25,False,1
J03WPY,1,0:00:28.890000,DFL-OBJ-0028BZ,DFL-OBJ-0000NZ,0.9718538984847465,85.21507656468152,9.61,3.96,2.2770094935836163,1.6854969593564972,4,11.440000000000001,50.88,1.602636342320217,2.565632184859589,41.48172257604162,3.401249770305027,5,0.68,0,1.62,22.56,False,1
J03WPY,1,0:00:30.730000,DFL-OBJ-0028T3,DFL-OBJ-0026RH,1.1332254850646448,4.0877632061147855,15.24,8.37,-0.7957554394736762,2.6401704490430165,5,21.07,55.85,1.3649338373165358,-7.94466137175416,13.412940346367423,6.661246129666731,4,0.56,0,-3.35,12.93,False,1
J03WPY,1,0:00:32.530000,DFL-OBJ-0000EJ,DFL-OBJ-002G5J,0.8861715409558117,84.44952104290527,5.52,4.67,3.6354791967939426,3.600013888862098,2,16.63,61.99,4.878418643957595,-6.5043815066276816,4.705798620221788,5.577418757812612,4,1.44,0,-9.49,17.37,False,1
J03WPY,1,0:01:07.410000,DFL-OBJ-002GG4,DFL-OBJ-J01KJ5,0.6711929677819916,116.64398502753394,16.19,20.59,1.1936460384065202,4.478236259957707,1,22.09,28.93,1.8027714620350577,-2.1304223629906285,10.84500100826513,5.561735340700779,4,0.495,1,23.57,-11.91,False,1
J03WPY,1,0:01:08.930000,DFL-OBJ-002GG4,DFL-OBJ-00028V,0.9929753269845123,48.153341088227286,8.51,15.49,1.8187243160600297,1.6542369842317024,1,24.72,26.39,2.2780184058129076,-2.1158153841910354,29.328782517112895,2.688289418942833,5,0.241,1,26.11,-9.28,False,1
J03WPY,1,0:03:58.562000,DFL-OBJ-J0178P,DFL-OBJ-002GM9,1.5536408851468837,58.68247932227092,11.62,8.27,2.2149243488063823,4.759033515326403,2,23.18,23.72,0.9520526316264684,5.634588500074253,51.276127167122155,6.987882368786698,5,0.672,0,28.78,10.82,False,1
J03WPY,1,0:04:02.066000,DFL-OBJ-002G68,DFL-OBJ-002FXT,5.540036100965408,144.95543731246275,13.83,18.38,-5.900050944334596,5.540036100965408,1,11.5,46.95,-4.713416478648106,-3.0994211654371773,20.026554236547593,9.807655173383699,3,0.551,0,5.55,22.5,False,1
J03WPY,1,0:03:54.130000,DFL-OBJ-0028BZ,DFL-OBJ-00028V,0.5903388857258175,89.59835189770929,14.63,15.35,0.2580068741254232,4.076530387474132,1,4.77,33.91,1.315048214052073,-3.446960940596109,8.252307954293803,4.508491987350094,3,2.096,1,18.59,29.23,False,1
J03WPY,1,0:04:03.434000,DFL-OBJ-002FXT,DFL-OBJ-0000EJ,0.9323089616645336,17.065770281181212,19.48,8.37,1.0695952230225243,4.518783022009354,5,22.439999999999998,63.9,2.6522272705418013,-7.271171387273691,1.4848157073705637,9.140005470457883,4,0.496,0,11.4,11.56,False,1
J03WPY,1,0:04:31.083000,DFL-OBJ-002GM9,DFL-OBJ-J0178P,4.5358350940041925,37.55038591722898,21.05,26.89,5.217736928110665,15.687590637188364,0,10.129999999999999,52.73,4.940577729422192,1.151684612307462,3.41764277354885,16.466490214979025,1,1.745,0,0.23,-23.87,False,1
J03WPY,1,0:04:34.211000,DFL-OBJ-002GM9,DFL-OBJ-002GG4,1.0304368005850735,39.09994042670402,17.24,2.69,7.31411780419867,6.566947540524439,1,3.5100000000000016,35.05,7.230132187081576,-1.3052510007933082,16.358940204403204,9.364496783063148,3,3.128,0,-17.45,-30.49,False,1
J03WPY,1,0:05:14.597000,DFL-OBJ-002GMO,DFL-OBJ-00008F,1.5211837495845133,168.22425844321472,11.47,12.18,-1.3472262858590758,1.9789138435010207,5,30.18,3.9399999999999977,-0.5458889223655851,-3.3769669888006337,6.605766847711064,2.166402548004412,8,1.218,1,-48.56,3.82,False,1
J03WPY,1,0:07:42.610000,DFL-OBJ-0028BZ,DFL-OBJ-0028FW,1.6720047846821497,65.44042669337594,7.48,1.92,-1.3898506760446394,7.633740891594371,1,26.78,4.579999999999998,0.1719041067764311,-6.01237227117996,22.186082569325645,8.075747643407388,3,2.764,0,47.92,7.22,False,1
J03WPY,1,0:09:07.450000,DFL-OBJ-0028BZ,DFL-OBJ-002GMO,3.1680909077865818,43.79747359052274,16.7,11.68,-0.7063517507178774,4.724923279800423,2,15.55,52.22,-0.9116999842097306,0.24051412706446174,9.14421499596108,10.401922899156673,2,4.014,1,0.28,18.45,False,1
J03WPY,1,0:10:41.101000,DFL-OBJ-002G5J,DFL-OBJ-0000EJ,0.8115417426109396,49.61321877055136,4.37,3.38,-0.2538543565273513,7.580303424006193,2,21.35,34.760000000000005,1.4883930390730984,-4.583555344815796,45.19210583339603,9.6008801679846,3,1.224,1,-17.74,12.65,False,1
J03WPY,1,0:11:13.470000,DFL-OBJ-002GMO,DFL-OBJ-0001LJ,1.1597413504743186,150.1382122254857,13.68,6.3,0.10948776285760631,3.354906854146626,3,33.46,15.75,-0.6649686754001982,3.4203758489557377,15.239468394921465,3.772598573927525,7,0.632,1,-36.75,0.54,False,1
J03WPY,1,0:11:39.238000,DFL-OBJ-002GG4,DFL-OBJ-J01KJ5,7.049687936355765,5.257893413805567,6.22,8.32,0.5086577575503859,12.44159555684077,2,1.2800000000000011,54.4,-0.7255753503876745,4.183646779729272,173.65980825409028,15.731401717583845,1,4.696,0,-1.9,-32.72,False,1
J03WPY,1,0:12:19.990000,DFL-OBJ-0026RH,DFL-OBJ-0000EJ,4.522167621838006,100.7344986992319,24.14,21.19,0.16718418093962573,5.7328265279877435,1,12.39,25.11,-0.36288883820255435,0.9392128605282157,8.43645874549662,8.654646151056667,4,0.896,1,-27.39,-21.61,False,1
J03WPY,1,0:12:40.270000,DFL-OBJ-00028V,DFL-OBJ-J0178P,8.50685018088364,151.45906169104208,1.66,2.99,-0.9840968322026722,12.532334180032066,0,3.969999999999999,55.05,-1.0211705190226006,0.3166340593653838,9.192972546078662,14.680687994777356,1,0.721,0,2.55,-30.03,False,1
J03WPY,1,0:12:27.890000,DFL-OBJ-0000F8,DFL-OBJ-002G68,1.8983413813115901,152.96288251094663,11.94,13.09,-0.2255520252766402,2.990016722361265,2,28.9,14.119999999999997,-0.21510045975579573,0.08598592642918845,4.047481745255764,4.354124481454339,6,1.204,0,-38.38,-5.1,False,1
J03WPY,1,0:12:29.970000,DFL-OBJ-J01KJ5,DFL-OBJ-002GG4,0.4,17.187990482773234,14.72,15.55,1.057304061144098,14.881871522090226,1,7.27,38.2,0.9607718398026889,-0.627103319091834,14.11678617260607,18.283161652186966,1,1.56,0,-14.3,-26.73,False,1
J03WPY,1,0:13:29.470000,DFL-OBJ-J0178P,DFL-OBJ-002GM9,1.585339080449353,119.58326227291573,15.82,13.86,-1.5260079628021097,4.9453513525330015,2,21.65,62.33,-0.7684547557129804,-1.273188722495937,6.640901613470284,5.015974481593783,3,0.726,0,-9.83,-12.35,False,1
J03WPY,1,0:13:51.335000,DFL-OBJ-0000F8,DFL-OBJ-0000EJ,0.9963934965664929,26.598031229071733,15.0,17.68,-0.5788514238189391,10.482237356595205,2,19.35,48.26,1.2107992906634764,-4.670703062345178,4.310179242349266,18.859692468330444,1,2.632,0,-4.24,14.65,False,1
J03WPY,1,0:14:45.050000,DFL-OBJ-002G5J,DFL-OBJ-002G68,1.2795311641378648,8.425723745304541,11.73,8.93,1.428266210159047,2.4397130978867176,2,12.16,23.53,2.066705528028428,-2.621279632180199,5.963239050153135,6.914658342969665,4,0.972,1,-28.97,21.84,False,1
J03WPY,1,0:16:58.010000,DFL-OBJ-0028T3,DFL-OBJ-0000NZ,2.2073513539987197,44.79340297661333,19.24,18.49,-1.5714650340350527,6.004040306327065,2,29.71,15.479999999999997,-1.0687118148995411,-1.3805535122069779,25.063152167714943,6.191163057132317,4,1.433,0,37.02,4.29,False,1
J03WPY,1,0:19:18.170000,DFL-OBJ-002GG4,DFL-OBJ-002GM9,6.7472809338280895,60.31317045509953,14.54,19.62,3.2194960154150176,11.251177716132656,0,4.539999999999999,13.079999999999998,2.0723165626566535,3.979405162112409,1.7347603081815945,17.60887560294524,1,3.121,0,39.42,-29.46,False,1
J03WPY,1,0:20:49.410000,DFL-OBJ-0000NZ,DFL-OBJ-002FYC,1.280039061903972,38.67456189854654,0.52,10.95,3.055000266136266,6.884199299845988,2,2.280000000000001,41.230000000000004,3.0104387669631114,-0.8184032027634769,16.29382776587754,12.474105178328422,2,0.528,1,-11.27,31.72,False,1
J03WPY,1,0:21:05.930000,DFL-OBJ-J01KJ5,DFL-OBJ-002GG4,0.8261961026293929,35.732332338974054,8.13,14.1,5.152759184946262,7.279629111431434,0,2.9400000000000013,41.51,5.503551127710853,-2.726972933084273,25.41108454932884,11.620817527179401,2,1.769,1,-10.99,-31.06,False,1
J03WPY,1,0:20:50.530000,DFL-OBJ-0000F8,DFL-OBJ-002G68,0.9080198235721514,112.32277763236019,12.86,19.69,3.4853826576802893,5.839880135756214,2,5.75,34.45,4.612867786223938,-5.218256995301173,1.9537635395736233,6.710923930428656,4,1.12,0,-18.05,28.25,False,1
J03WPY,1,0:21:09.930000,DFL-OBJ-0026RH,DFL-OBJ-0001LJ,1.268463637634127,128.64072066708127,17.61,22.26,-0.0017742957372196555,5.940210433982958,1,16.95,12.840000000000003,-0.37219358904386246,1.466979585121296,10.479667967145135,9.898994898473278,3,0.664,1,-39.66,-17.05,False,1
