match_id,period_id,timestamp,carrier_id,opponent_id,distance_m,approach_angle_deg,carrier_speed_mps,opponent_speed_mps,closing_speed_mps,second_nearest_dist_m,n_supporting_teammates,dist_to_sideline_m,dist_to_goal_line_m,carrier_x,carrier_y,sync_error_suspect,label
J03WPY,1,0:00:31.090000,DFL-OBJ-0028T3,DFL-OBJ-J01H9X,1.2965338406690352,87.96248725288375,12.62,7.02,3.970331294637364,2.02607995893548,4,19.67,56.02,-3.52,14.33,False,1
J03WPY,1,0:00:26.490000,DFL-OBJ-002595,DFL-OBJ-00028V,1.16,161.51201591344093,1.71,2.65,-1.3054781280898053,4.548955924165456,2,11.75,55.19,-2.69,22.25,False,1
J03WPY,1,0:00:28.890000,DFL-OBJ-0028BZ,DFL-OBJ-0000NZ,0.9718538984847465,85.21507656468152,9.61,3.96,2.2770094935836163,1.6854969593564972,4,11.440000000000001,50.88,1.62,22.56,False,1
J03WPY,1,0:00:30.730000,DFL-OBJ-0028T3,DFL-OBJ-0026RH,1.1332254850646448,4.0877632061147855,15.24,8.37,-0.7957554394736762,2.6401704490430165,5,21.07,55.85,-3.35,12.93,False,1
J03WPY,1,0:00:32.530000,DFL-OBJ-0000EJ,DFL-OBJ-002G5J,0.8861715409558117,84.44952104290527,5.52,4.67,3.6354791967939426,3.600013888862098,2,16.63,61.99,-9.49,17.37,False,1
J03WPY,1,0:01:07.410000,DFL-OBJ-002GG4,DFL-OBJ-J01KJ5,0.6711929677819916,116.64398502753394,16.19,20.59,1.1936460384065202,4.478236259957707,1,22.09,28.93,23.57,-11.91,False,1
J03WPY,1,0:01:08.930000,DFL-OBJ-002GG4,DFL-OBJ-00028V,0.9929753269845123,48.153341088227286,8.51,15.49,1.8187243160600297,1.6542369842317024,1,24.72,26.39,26.11,-9.28,False,1
J03WPY,1,0:03:58.562000,DFL-OBJ-J0178P,DFL-OBJ-002GM9,1.5536408851468837,58.68247932227092,11.62,8.27,2.2149243488063823,4.759033515326403,2,23.18,23.72,28.78,10.82,False,1
J03WPY,1,0:04:02.066000,DFL-OBJ-002G68,DFL-OBJ-002FXT,5.540036100965408,144.95543731246275,13.83,18.38,-5.900050944334596,5.540036100965408,1,11.5,46.95,5.55,22.5,False,1
J03WPY,1,0:03:54.130000,DFL-OBJ-0028BZ,DFL-OBJ-00028V,0.5903388857258175,89.59835189770929,14.63,15.35,0.2580068741254232,4.076530387474132,1,4.77,33.91,18.59,29.23,False,1
J03WPY,1,0:04:03.434000,DFL-OBJ-002FXT,DFL-OBJ-0000EJ,0.9323089616645336,17.065770281181212,19.48,8.37,1.0695952230225243,4.518783022009354,5,22.439999999999998,63.9,11.4,11.56,False,1
J03WPY,1,0:04:31.083000,DFL-OBJ-002GM9,DFL-OBJ-J0178P,4.5358350940041925,37.55038591722898,21.05,26.89,5.217736928110665,15.687590637188364,0,10.129999999999999,52.73,0.23,-23.87,False,1
J03WPY,1,0:04:34.211000,DFL-OBJ-002GM9,DFL-OBJ-002GG4,1.0304368005850735,39.09994042670402,17.24,2.69,7.31411780419867,6.566947540524439,1,3.5100000000000016,35.05,-17.45,-30.49,False,1
J03WPY,1,0:05:14.597000,DFL-OBJ-002GMO,DFL-OBJ-00008F,1.5211837495845133,168.22425844321472,11.47,12.18,-1.3472262858590758,1.9789138435010207,5,30.18,3.9399999999999977,-48.56,3.82,False,1
J03WPY,1,0:07:42.610000,DFL-OBJ-0028BZ,DFL-OBJ-0028FW,1.6720047846821497,65.44042669337594,7.48,1.92,-1.3898506760446394,7.633740891594371,1,26.78,4.579999999999998,47.92,7.22,False,1
J03WPY,1,0:09:07.450000,DFL-OBJ-0028BZ,DFL-OBJ-002GMO,3.1680909077865818,43.79747359052274,16.7,11.68,-0.7063517507178774,4.724923279800423,2,15.55,52.22,0.28,18.45,False,1
J03WPY,1,0:10:41.101000,DFL-OBJ-002G5J,DFL-OBJ-0000EJ,0.8115417426109396,49.61321877055136,4.37,3.38,-0.2538543565273513,7.580303424006193,2,21.35,34.760000000000005,-17.74,12.65,False,1
J03WPY,1,0:11:13.470000,DFL-OBJ-002GMO,DFL-OBJ-0001LJ,1.1597413504743186,150.1382122254857,13.68,6.3,0.10948776285760631,3.354906854146626,3,33.46,15.75,-36.75,0.54,False,1
J03WPY,1,0:11:39.238000,DFL-OBJ-002GG4,DFL-OBJ-J01KJ5,7.049687936355765,5.257893413805567,6.22,8.32,0.5086577575503859,12.44159555684077,2,1.2800000000000011,54.4,-1.9,-32.72,False,1
J03WPY,1,0:12:19.990000,DFL-OBJ-0026RH,DFL-OBJ-0000EJ,4.522167621838006,100.7344986992319,24.14,21.19,0.16718418093962573,5.7328265279877435,1,12.39,25.11,-27.39,-21.61,False,1
J03WPY,1,0:12:40.270000,DFL-OBJ-00028V,DFL-OBJ-J0178P,8.50685018088364,151.45906169104208,1.66,2.99,-0.9840968322026722,12.532334180032066,0,3.969999999999999,55.05,2.55,-30.03,False,1
J03WPY,1,0:12:27.890000,DFL-OBJ-0000F8,DFL-OBJ-002G68,1.8983413813115901,152.96288251094663,11.94,13.09,-0.2255520252766402,2.990016722361265,2,28.9,14.119999999999997,-38.38,-5.1,False,1
J03WPY,1,0:12:29.970000,DFL-OBJ-J01KJ5,DFL-OBJ-002GG4,0.4,17.187990482773234,14.72,15.55,1.057304061144098,14.881871522090226,1,7.27,38.2,-14.3,-26.73,False,1
J03WPY,1,0:13:29.470000,DFL-OBJ-J0178P,DFL-OBJ-002GM9,1.585339080449353,119.58326227291573,15.82,13.86,-1.5260079628021097,4.9453513525330015,2,21.65,62.33,-9.83,-12.35,False,1
J03WPY,1,0:13:51.335000,DFL-OBJ-0000F8,DFL-OBJ-0000EJ,0.9963934965664929,26.598031229071733,15.0,17.68,-0.5788514238189391,10.482237356595205,2,19.35,48.26,-4.24,14.65,False,1
J03WPY,1,0:14:45.050000,DFL-OBJ-002G5J,DFL-OBJ-002G68,1.2795311641378648,8.425723745304541,11.73,8.93,1.428266210159047,2.4397130978867176,2,12.16,23.53,-28.97,21.84,False,1
J03WPY,1,0:16:58.010000,DFL-OBJ-0028T3,DFL-OBJ-0000NZ,2.2073513539987197,44.79340297661333,19.24,18.49,-1.5714650340350527,6.004040306327065,2,29.71,15.479999999999997,37.02,4.29,False,1
J03WPY,1,0:19:18.170000,DFL-OBJ-002GG4,DFL-OBJ-002GM9,6.7472809338280895,60.31317045509953,14.54,19.62,3.2194960154150176,11.251177716132656,0,4.539999999999999,13.079999999999998,39.42,-29.46,False,1
J03WPY,1,0:20:49.410000,DFL-OBJ-0000NZ,DFL-OBJ-002FYC,1.280039061903972,38.67456189854654,0.52,10.95,3.055000266136266,6.884199299845988,2,2.280000000000001,41.230000000000004,-11.27,31.72,False,1
J03WPY,1,0:21:05.930000,DFL-OBJ-J01KJ5,DFL-OBJ-002GG4,0.8261961026293929,35.732332338974054,8.13,14.1,5.152759184946262,7.279629111431434,0,2.9400000000000013,41.51,-10.99,-31.06,False,1
J03WPY,1,0:20:50.530000,DFL-OBJ-0000F8,DFL-OBJ-002G68,0.9080198235721514,112.32277763236019,12.86,19.69,3.4853826576802893,5.839880135756214,2,5.75,34.45,-18.05,28.25,False,1
J03WPY,1,0:21:09.930000,DFL-OBJ-0026RH,DFL-OBJ-0001LJ,1.268463637634127,128.64072066708127,17.61,22.26,-0.0017742957372196555,5.940210433982958,1,16.95,12.840000000000003,-39.66,-17.05,False,1
J03WPY,1,0:21:51.835000,DFL-OBJ-0026RH,DFL-OBJ-002GG4,1.3298120167903442,109.4525605490268,4.65,5.76,-1.621591405383218,2.2193918085818027,2,4.25,80.18,27.68,-29.75,False,1
J03WPY,1,0:22:42.586000,DFL-OBJ-0000EJ,DFL-OBJ-002G5J,2.063904067538023,118.85447317609972,2.68,3.6,-0.26971926922059686,5.170880002475401,3,22.77,46.85,5.65,-11.23,False,1
J03WPY,1,0:22:50.219000,DFL-OBJ-002G68,DFL-OBJ-002FXT,3.8225645841502796,35.608230274774314,15.52,8.25,-2.0854259162858146,3.8225645841502796,2,28.35,56.09,-3.59,-5.65,False,1
J03WPY,1,0:22:59.018000,DFL-OBJ-J01H9X,DFL-OBJ-002G68,0.6735725647619585,151.9137630123314,6.46,6.94,-0.018848831370222863,5.331735177219515,2,4.77,42.7,-9.8,29.23,False,1
J03WPY,1,0:22:56.730000,DFL-OBJ-J01H9X,DFL-OBJ-002G68,1.3280060240827216,12.693119432594104,7.95,13.38,1.1171152060801826,6.937759004174187,1,3.75,42.21,-10.29,30.25,False,1
J03WPY,1,0:23:32.530000,DFL-OBJ-J0178P,DFL-OBJ-002GMO,0.5841232746604097,58.075460060106884,13.27,18.24,1.6167236623879166,5.75835045824757,2,24.53,25.96,26.54,-9.47,False,1
J03WPY,1,0:25:44.875000,DFL-OBJ-0000F8,DFL-OBJ-002595,2.828462479864282,6.633056752428714,4.66,1.13,-2.0626634124042487,2.828462479864282,2,10.39,66.23,13.73,23.61,False,1
J03WPY,1,0:26:38.890000,DFL-OBJ-J01KJ5,DFL-OBJ-002GG4,0.9689685237405791,58.93483511450131,2.39,9.09,2.5397480751012833,6.934529544244512,1,7.640000000000001,52.63,0.13,-26.36,False,1
J03WPY,1,0:26:56.644000,DFL-OBJ-J0178P,DFL-OBJ-002GM9,1.3792751719653304,154.0064128728515,10.94,16.09,-1.54014573960411,5.169777558077329,3,7.739999999999998,58.980000000000004,-6.48,-26.26,False,1
J03WPY,1,0:26:43.410000,DFL-OBJ-J01KJ5,DFL-OBJ-002GG4,0.9277930803794566,69.56768247474876,13.4,13.92,1.750068871399349,4.141026442803762,3,1.2700000000000031,37.26,-15.24,-32.73,False,1
J03WPY,1,0:28:25.205000,DFL-OBJ-0028T3,DFL-OBJ-00028V,7.981603848851432,36.83068630017537,22.9,9.28,-4.600976534168401,7.981603848851432,2,30.67,29.32,23.18,-3.33,False,1
