model,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
decision_tree(depth=3),0.5535634220465849,0.04437001136693177,0.4291815902497347,0.060325569300324046,0.7948643648299473,0.062126430052536416
decision_tree(depth=5),0.5842933635393,0.033746705262578086,0.4616995633140144,0.03929464930043176,0.8027656016697468,0.065049237353081
decision_tree(depth=8),0.5903622752880471,0.04380403980308055,0.48795293545956037,0.052394820475175644,0.7520058108853515,0.04392502440788392
decision_tree(depth=None),0.5259081242150873,0.03925148813536748,0.5363469948214429,0.040486918247210464,0.5178285581840446,0.05037427601147255
xgboost,0.6336860012928719,0.03699492778248355,0.5275974317635108,0.044272550938904344,0.7971027337237321,0.048639274685343535
