model,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
decision_tree(depth=3),0.551447440706984,0.04452145548776877,0.4259567957205923,0.05905990794655391,0.7959304629109708,0.06044786957520883
decision_tree(depth=5),0.5829305314388404,0.03420354052799204,0.4676406714540679,0.044637321576267375,0.7823728443174767,0.06447473227672822
decision_tree(depth=8),0.5912201686717625,0.03176123159380758,0.4910999484238968,0.04634691931232424,0.748091808508345,0.03665523591204118
decision_tree(depth=None),0.5240323931504959,0.05716727268767732,0.5406693757526128,0.06324432809836304,0.5096719329950913,0.05988103103062594
xgboost,0.6599509748099673,0.038161018063919735,0.5575568428909425,0.0510375295923341,0.8125097088530764,0.03420940258253896
